Date,Close,High,Low,Open,Volume
2000-01-03,1564.650146484375,1584.5187659750743,1452.8894044097378,1462.8237141550874,331233
2000-01-04,1365.96484375,1549.7491436847902,1341.1290619856718,1549.7491436847902,345634
2000-01-05,1514.979248046875,1537.3313314986647,1291.4576858470841,1368.4484919773536,197519
2000-01-06,1492.6263427734375,1539.8141871140072,1465.3071155363746,1517.4621141528207,115811
2000-01-07,1440.471435546875,1534.8471302156263,1428.053670349604,1527.3965196093702,101310
2000-01-10,1537.3311767578125,1549.7490670257198,1477.7255460324645,1490.1433150200685,202220
2000-01-11,1490.1434326171875,1527.397106360844,1465.3077714017293,1527.397106360844,72707
2000-01-12,1462.8238525390625,1490.1430856429158,1442.95523116878,1490.1430856429158,78507
2000-01-13,1487.6595458984375,1514.978900979063,1465.3074675673045,1465.3074675673045,100410
2000-01-14,1527.396728515625,1527.396728515625,1440.4716325641452,1465.3074089160773,148814
2000-01-17,1465.30712890625,1524.9128594803708,1452.889243103254,1524.9128594803708,101010
2000-01-18,1445.4388427734375,1485.175965166593,1440.4716873142572,1477.72535325811,88908
2000-01-19,1428.053955078125,1467.7910784488527,1428.053955078125,1440.4717227512776,73507
2000-01-20,1415.6358642578125,1452.8894045255706,1353.5465496247002,1440.4715173428935,54805
2000-01-21,1370.93212890625,1440.472081819247,1365.9649720867044,1440.472081819247,73407
2000-01-24,1368.4482421875,1440.4717572834988,1328.7109965838665,1378.3824323081149,130613
2000-01-25,1368.4482421875,1368.4482421875,1368.4482421875,1368.4482421875,0
2000-01-26,1415.6358642578125,1447.9222496524999,1341.1286624420231,1415.6358642578125,98609
2000-01-27,1403.2183837890625,1450.4062474800646,1353.5469419416756,1428.05416535291,39603
2000-01-28,1311.326171875,1390.8004265193988,1291.457547573749,1365.9647674231376,158015
2000-01-31,1328.711669921875,1341.129565465904,1281.5237881349196,1318.7774747670069,78507
2000-02-01,1291.457275390625,1341.1287043948691,1266.6216215286415,1328.710816823739,93109
2000-02-02,1244.2694091796875,1316.2930349598566,1241.7858316948445,1291.4572601114273,73307
2000-02-03,1266.6217041015625,1316.29313634396,1244.2695050163554,1316.29313634396,54505
2000-02-04,1341.1287841796875,1390.8002161389247,1291.4573522204505,1291.4573522204505,113911
2000-02-07,1353.546142578125,1368.4476027160804,1341.1282591298288,1341.1282591298288,73307
2000-02-08,1552.232421875,1564.6503103572686,1353.5466912798458,1353.5466912798458,597659
2000-02-09,1753.40185546875,1837.843381902277,1554.716110675054,1554.716110675054,667266
2000-02-10,2409.064697265625,2607.750420487474,1778.2374411400567,1778.2374411400567,1315431
2000-02-11,2749.314453125,2980.28647219312,2582.9149749087833,2654.938492087406,1238323
2000-02-14,2880.94287109375,3104.464342568357,2769.1821353564465,2893.3607575712876,625862
2000-02-15,2630.10302734375,2880.9436766470617,2528.2765723163343,2880.9436766470617,531853
2000-02-16,2632.585693359375,2669.839107742806,2533.2428507360314,2632.585693359375,447244
2000-02-17,2694.675537109375,2756.7647379516643,2669.839759748229,2831.2720700351024,212721
2000-02-18,2607.751220703125,2707.094112798452,2558.0796533751427,2682.258329134461,39803
2000-02-21,2657.42333984375,2657.42333984375,2409.0661566452995,2607.752000228344,130713
2000-02-22,2409.064697265625,2545.6612229408574,2371.811033201317,2545.6612229408574,157115
2000-02-23,2478.6044921875,2520.8253091533234,2284.885934759527,2483.5716471246556,154815
2000-02-24,2458.73681640625,2582.9154949497324,2371.8118141940054,2483.572600627075,73007
2000-02-25,2421.483154296875,2483.5723664334637,2409.065263357433,2446.3186936151383,32503
2000-02-28,2359.3935546875,2396.6472252177327,2359.3935546875,2359.3935546875,37603
2000-02-29,2359.3935546875,2483.572213894338,2359.3935546875,2396.6472252177327,39803
2000-03-01,2359.3935546875,2396.6472252177327,2135.872016627313,2260.0506758341508,274127
2000-03-02,2232.7314453125,2334.5578969704643,2210.379244142573,2309.7221178927675,118011
2000-03-03,2359.3935546875,2359.3935546875,2210.379357687779,2235.214895480662,123912
2000-03-06,2359.3935546875,2359.3935546875,2359.3935546875,2359.3935546875,0
2000-03-07,2359.3935546875,2359.3935546875,2359.3935546875,2359.3935546875,0
2000-03-08,2359.3935546875,2483.572213894338,2329.590860823919,2356.9099766521513,71907
2000-03-09,2451.285400390625,2483.5719109113725,2384.2290441773403,2409.0648215009924,86708
2000-03-10,2404.097412109375,2458.73587388978,2334.5574855087093,2458.73587388978,110811
2000-03-13,2404.097412109375,2404.097412109375,2404.097412109375,2404.097412109375,0
2000-03-14,2210.37890625,2297.3038771734427,2210.37890625,2289.8531445891,35603
2000-03-15,2173.125,2319.6558151908944,2111.0358113099255,2319.6558151908944,39003
2000-03-16,2245.149169921875,2260.050637883745,2210.3793205714455,2235.2148579472946,54905
2000-03-17,2409.064697265625,2433.9004733084967,2247.6323955475204,2247.6323955475204,70907
2000-03-20,2384.229736328125,2421.4834131284842,2359.3939517945523,2409.0655208616977,132113
