Date,Close,High,Low,Open,Volume,RSI_14,RSX_14,STOCHk_14_3_3,STOCHd_14_3_3,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACDEXT_12_26_9,MACDEXTs_12_26_9,MACDEXTh_12_26_9,ROC_10,ROCP_10,MOM_10,TSI_13_25_13,TSIs_13_25_13,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,KST_10_15_20_30_10_10_10_15,KSTs_9,COPC_11_14_10,STOCHFk_5_3,STOCHFd_5_3,ADX_14,DMP_14,DMN_14,ADXR_14,AMATe_LR_8_21_2,AMATe_SR_8_21_2,DX_14,VTXP_14,VTXM_14,VHF_28,PMAX_E_10_3.0,TTM_TRND_6,QS_10,ATRr_14,NATR_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,DCL_20_20,DCM_20_20,DCU_20_20,UI_14,HVOL_20,MASSI_9_25,THERMO_20_2_0.5,THERMOma_20_2_0.5,THERMOl_20_2_0.5,THERMOs_20_2_0.5,TRUERANGE_1,PDIST,ABER_ZG_5_15,ABER_SG_5_15,ABER_XG_5_15,ABER_ATR_5_15,RVI_14,KCLe_20_2,KCBe_20_2,KCUe_20_2,OBV,AD,ADOSC_3_10,EFI_13,PVT,WAD,SMA_10,EMA_10,WMA_10,DEMA_10,TEMA_10,KAMA_10_2_30,ALMA_10_6.0_0.85,T3_10_0.7,TRIMA_10,LR_14,TSF_14,ZL_EMA_10,HMA_10,MAMA_0.5_0.05,FAMA_0.5_0.05,STDEV_30,VAR_30,MAD_30,QTL_30_0.5,MEDIAN_30,PCTRET_1,LOGRET_1,DD,DD_PCT,DD_LOG
2008-01-21,12.461177825927734,12.487860882629809,11.650000280306964,12.092945739657598,4206000,26.98380281184095,21.058566747213852,24.66947245251941,24.693289869977182,18.134532555902144,16.58705680328986,-1.3130735237258264,-0.34337027932290853,-0.9697032444029179,-1.3130735237258264,-0.9697032444029179,-0.34337027932290853,-18.72607894593946,-0.18726078945939462,-2.8711423873901385,-37.59450466478202,-24.211182750510176,-12.300306741430896,-4.254389990957929,-8.045916750472967,-19530.852994340843,-12280.105807690843,-46.86716593678103,35.81083798334103,47.055313005920816,32.448202088405175,12.703593770580541,42.68862157167871,23.428438574836758,0,1,54.13220542963608,0.6973640387575818,1.2793093684975203,0.5217400312620524,17.792266355422115,-1,-0.08005030369852455,1.1355794520567046,10.393737380024056,12.317823525484059,13.198706817626952,14.079590109769846,13.348024231684105,0.08136963302763012,11.329799355597066,15.097502282913936,18.86520521023081,20.87885561888899,64.27358156147432,26.222977445348384,2.0012541671346096,0.8890812882353092,0,1,1.6383593617218448,2.502903020746764,13.087347681974222,14.209009159022372,11.965686204926072,1.1216614770481503,35.662112306703555,12.898366625686464,15.305172210460968,17.711977795235473,135924900.0,126645731.56785524,1497669.1962255985,-1769505.434972922,-151159281.42681015,-5.891689709480408,14.220150470733643,14.145024573237613,13.665812995217063,12.799124606651917,12.524468089786671,14.34641453702974,15.29229196642755,14.524229401586013,14.327388074662949,12.506308146885463,12.13241088783348,12.910932299702653,12.778142336643102,13.24453961589223,15.178014715786919,2.1019995246389516,4.418402001582379,1.8709026082356766,17.677794456481934,17.677794456481934,-0.06224860241476604,-0.0642703996610974,7.284593582153317,0.368919169152949,0.4603213250458471
2008-01-22,12.594594955444336,13.07489709409783,12.00755855580413,12.178332559068185,8130800,28.29529893676766,21.274440145678387,20.008816918101438,24.422186478837176,13.926979075326264,17.006863885158726,-1.3622154904456991,-0.3140097968342248,-1.0482056936114743,-1.3622154904456991,-1.0482056936114743,-0.3140097968342248,-21.2020162284685,-0.212020162284685,-3.3888025283813477,-38.773483357510834,-26.291511408653125,-12.804347895661193,-3.8067449161505795,-8.997602979510614,-21082.603981403463,-14158.587662449452,-47.85387799583698,40.033846639077666,41.127814493019,33.25964523561227,15.555454329458346,39.81031575633108,23.438085800177504,0,1,43.808406149304446,0.7064522511544571,1.2777946177350779,0.5228230376132441,17.465847444547542,-1,-0.06243922559301267,1.1307051010736329,10.042426619570174,12.092147795478489,13.101579475402833,14.111011155327176,15.40931277514243,0.24887625876944203,11.329799355597066,15.097502282913936,18.86520521023081,22.139257739915713,64.44187707375445,26.48786288583361,0.5870362114680212,0.8603150904479484,1,1,1.0673385382937008,2.0012599470707997,12.89985239306699,14.017892340864844,11.781812445269136,1.1180399477978538,45.16261621937401,12.666133411702699,15.047021995697481,17.427910579692263,144055700.0,127458814.6695093,2007723.584121108,-1361749.2304519927,-142453940.63296893,-5.304653309840202,13.881270217895509,13.863128279093381,13.370257446982643,12.531294974859804,12.31808509389452,14.025018169322129,14.869407592574978,14.134655286338429,13.967605802747938,12.312814549037387,11.966327855875203,12.716602821682763,12.568330218575218,13.212042382869834,15.12886540746399,2.2111443574107144,4.889159369309241,1.9841471566094284,17.61109161376953,17.61109161376953,0.01070662271097711,0.010649712675188269,7.151176452636715,0.3621624247969397,0.44967161237065856
2008-01-23,11.633988380432127,12.274391840117282,11.393837846470124,12.221024715494645,6326400,24.836279616621567,20.872425688937934,12.959264428720303,19.21251793311372,7.635456880798191,13.2323228373422,-1.461822792401609,-0.33089367903210776,-1.1309291133695012,-1.461822792401609,-1.1309291133695012,-0.33089367903210776,-25.850369121577213,-0.2585036912157721,-4.055891990661623,-40.918825329607564,-28.381127683075192,-13.15399845050904,-3.3251163767987393,-9.8288820737103,-22916.79658033441,-16000.821671793612,-51.01227941188064,7.758611529410414,27.867765383943038,34.29458086373956,14.380711415760898,40.6637507646348,24.212281342394014,0,1,47.74874402939431,0.682954246694184,1.244619387453819,0.5538172807370877,17.060504497301434,-1,-0.13181618617168325,1.1357088159236741,10.798218710771476,11.26756949328609,12.758963203430175,14.250356913574262,23.377976507419245,0.12284445235813611,11.329799355597066,15.097502282913936,18.86520521023081,23.271195790898318,67.96648140524768,26.54435291993956,0.800505253980548,0.8546189155462912,1,1,1.2007571089742122,1.5476418921814903,12.708086770280755,13.831641195490366,11.584532345071143,1.123554425209611,38.8975412436439,12.339118245110413,14.721971175196018,17.104824105281622,137729300.0,124583170.32792042,1118884.1264708936,-2035382.402695599,-190706238.2070979,-6.26525988485241,13.475681018829345,13.457830115700425,12.961660749262029,12.0365407330969,11.788904948186257,13.532924160570127,14.393568808027661,13.741405457204081,13.630208121405708,11.994290569850378,11.664482640696097,12.122908044567057,12.184471508950898,13.133139682747949,15.07897226434609,2.3462271780555835,5.504781971046666,2.0940714179144955,17.61109161376953,17.61109161376953,-0.07627133531570718,-0.07933690340399686,8.111783027648924,0.4108111483722099,0.5290085157746556
2008-01-24,13.154947280883787,13.870064182971635,12.119628613729343,12.541227824943928,8678200,37.801384291670054,23.724687676951735,19.75577451507938,17.574618620633707,38.38442957446821,19.982288510197556,-1.4018736974033796,-0.2167556672271027,-1.185118030176277,-1.4018736974033796,-1.185118030176277,-0.2167556672271027,-11.964269929754412,-0.11964269929754413,-1.7877893447876012,-38.20839672446218,-29.785023260416192,-13.37177008664107,-2.8343104103446137,-10.537459676296455,-23710.232147111234,-17737.34231023974,-48.79333388032803,56.896662842969924,34.896373670486,33.523547893994476,21.875340648317735,35.315181597002635,24.466874500445627,0,1,23.500119287308344,0.7852116238891849,1.1073941762283992,0.5026652885164508,17.060504497301434,1,0.02561616844303516,1.2143064578248053,10.54284079960919,11.449925614808132,12.62661361694336,13.803301619078587,18.638219839977637,0.7245003191082554,11.329799355597066,15.097502282913936,18.86520521023081,23.37250085252446,82.70316120304086,26.731365757991654,1.5956723428543533,0.9251954324327734,1,1,2.236075802539508,3.7943911270565254,12.649739239182965,13.84746175621457,11.452016722151361,1.1977225170316042,46.79482113707148,11.990897048033686,14.572730804309138,17.154564560584593,146407500.0,126170646.61463903,1158657.3371634483,140984.44481800008,-77252578.99509399,-4.74430098440075,13.296902084350586,13.402760509370125,12.903345524181018,12.194830427515178,12.166786031382582,13.515089717412275,13.95780515081018,13.384282559528174,13.360705031288994,12.03180035182408,11.740897597847404,12.28629474914373,12.137827076574771,13.13423006265474,15.030353709303807,2.3654866267640458,5.595526981399544,2.1161769549051916,16.890636444091797,16.890636444091797,0.13073409141527503,0.12286706022115229,6.590824127197264,0.3337840791826415,0.40614145555350323
2008-01-28,13.661932945251465,13.848717385532684,12.738685390987502,12.808061945318252,3592700,41.42815066017634,28.425298225012895,29.18027141901776,20.631770120939148,66.66666666666667,37.56218437397769,-1.2984859637383614,-0.09069434684966748,-1.207791616888694,-1.2984859637383614,-1.207791616888694,-0.09069434684966748,-10.017566755334801,-0.10017566755334802,-1.520956039428711,-34.784095261603866,-30.499176403443006,-13.320744495639149,-2.2266278554741543,-11.094116640164994,-24174.12470247686,-19308.354865223067,-43.726972596287844,91.59482173934776,52.08336537057604,32.80758870780261,20.43817770479131,32.995049940491874,24.703282432922123,1,0,23.500119287308337,0.8673726744405337,1.0501291577677572,0.4913204679327061,17.060504497301434,1,0.08111772026785968,1.2068582818762608,9.88138892131313,11.334050624662323,12.70132827758789,14.068605930513458,21.529679779054213,0.8512836860926404,11.329799355597066,15.097502282913936,18.86520521023081,23.07664438954796,84.82824852568355,26.797239771071375,0.6190567772581588,0.8960393700351911,1,1,1.1100319945451818,1.7130783247226853,12.598152230705782,13.790028712904958,11.406275748506607,1.1918764821991759,53.41954594756876,11.938608658331535,14.48598815106555,17.033367643799565,150000200.0,128554263.5217264,1828019.272232443,381050.5807545365,-63406477.16372743,-3.8210534301367876,13.144806480407714,13.449882770439459,12.969714771617543,12.500130917069411,12.688422234448568,13.520373447542996,13.532383069950592,13.094688242188987,13.13893591033088,12.166132981436593,11.914252689906528,12.754729897403996,12.462217538043705,13.398081503953103,14.62228565796613,2.342288476374349,5.486315306556068,2.1010564804077148,16.076789379119873,16.076789379119873,0.03853954360610845,0.03781544122691815,6.083838462829586,0.3081084216512172,0.3683260143265854
2008-01-29,13.875398635864258,14.670565589387758,13.843378770176198,14.11555017325764,2709300,42.936880423211775,33.5170925078784,45.75819705702012,31.564747663705756,100.0,68.35036541371163,-1.1856580151628862,0.017706881380646244,-1.2033648965435324,-1.1856580151628862,-1.2033648965435324,0.017706881380646244,-3.7036992913231463,-0.03703699291323146,-0.5336685180664062,-31.59753871880584,-30.6560853056377,-13.031454708334557,-1.5498704545356503,-11.481584253798907,-24147.98635364444,-20581.210597757552,-39.291893900820725,75.73289525679436,74.74145994637068,31.355172951881638,24.125504352698247,31.001978770596352,24.563090586419104,1,0,12.473768124908991,0.9007409963388608,0.989447134050115,0.4716988685211916,17.060504497301434,1,0.13768662097448084,1.1926993077519774,9.401348517203544,11.369842834535088,12.984172439575195,14.598502044615302,24.86611468775168,0.7760360069921783,11.329799355597066,15.097502282913936,18.86520521023081,22.8989134220306,85.49504420905747,26.770632833222848,1.1046933791886957,0.9159111804307629,1,1,1.0086326441362932,1.8678393290359143,12.98417249781003,14.163832724138349,11.804512271481713,1.1796602263283171,58.61047165643604,11.930944343022976,14.427836768665427,16.92472919430788,152709500.0,126054714.01603758,1140354.3782022,409235.154300637,-59173235.806923255,-3.6075877395239946,13.091439628601075,13.527249291425786,13.102549708973278,12.813479474020925,13.160612217666296,13.524833193217656,13.30661828944393,12.887261777056828,12.97942834430271,12.496093177795409,12.318140815902542,13.1913612462913,13.048822169833713,13.63674006990868,14.375899260951766,2.3043560155682288,5.310056646485482,2.070815467834472,15.836638927459717,15.836638927459717,0.01562485275460146,0.015504041555870027,5.870372772216793,0.2972977176173687,0.35282197277071514
2008-01-30,14.088873863220217,14.11555794756782,13.13360603723821,13.864732644169026,4661000,44.47715558937707,38.49909914019039,53.833983946525585,42.92415080752116,100.0,88.8888888888889,-1.06671891463618,0.10931678552588187,-1.1760357001620618,-1.06671891463618,-1.1760357001620618,0.10931678552588187,7.7111952017908045,0.07711195201790805,1.008642196655277,-28.556252199287933,-30.356109147587734,-12.856646076960537,-1.1000494585293037,-11.756596618431233,-23771.558870246037,-21578.784970474193,-33.4806133025557,82.24778584596118,83.19183428070109,30.48584080412242,22.6886132610374,33.46056526391532,24.83100117228654,1,0,19.18452288325262,0.8696746036668357,1.0047646863765003,0.4288170130320996,17.060504497301434,1,0.27697432128789146,1.1776459222218085,8.953672046551148,11.52130274409304,13.28302822113037,15.044753698167701,26.52596151583588,0.7287091980542353,11.329799355597066,15.097502282913936,18.86520521023081,22.660353956822885,85.45497532156351,26.744775340251607,0.7097727329379886,0.8962789473362129,1,1,0.9819519103296115,1.7504285933032637,13.228238313988694,14.394717985917097,12.06175864206029,1.1664796719284034,62.74423056692367,11.949422981074214,14.395554587194454,16.841686193314693,157370500.0,130462393.02172853,2157811.6617094874,492916.9943585638,-52002212.755129345,-2.6523199135419873,13.1923038482666,13.629362849933862,13.28390138799494,13.128916819927403,13.58747216350867,13.541555899722901,13.20712907522733,12.765454738686415,12.940737644831339,12.899244526454382,12.800908927079085,13.800888173512574,13.64698028949776,13.659346759574255,14.357985448417327,2.2394378534665287,5.015081899538773,2.008554045359293,15.51110029220581,15.51110029220581,0.015385159948066773,0.015268008443134622,5.6568975448608345,0.2864865306070403,0.33755396432758067
2008-01-31,13.71530055999756,14.003481434682657,13.309711795198272,13.875400932834465,4017600,42.32415508662423,42.48404793547649,56.55556478546112,52.04924859633561,96.34605485393602,98.78201828464535,-0.991177388102976,0.14788664964726883,-1.1390640377502448,-0.991177388102976,-1.1390640377502448,0.14788664964726883,2.758888856259173,0.02758888856259173,0.3682308197021502,-26.670847092620164,-29.829643139735225,-12.344816979549968,-0.47057628889498737,-11.87424069065498,-23546.24908970318,-22342.166850935508,-26.76037494546282,62.55238610339885,73.51102240205147,29.67860380977458,21.5898133768158,31.840084328612075,25.141730188832014,1,0,19.184522883252615,0.8941539298474503,1.0042562953613487,0.44964065241489753,17.060504497301434,1,0.1323499867505586,1.1491827897789613,8.728672209276555,13.079128922312169,13.699290657043457,14.319452391774746,9.053924765256866,0.5129078448874631,11.329799355597066,14.654561076021892,17.979322796446716,22.272590855817125,85.42779125532385,26.754881777799753,0.17610575796006245,0.8276910245384843,1,0,0.7791620680219449,1.4409118365176181,13.60999002884596,14.7506485271806,12.46933153051132,1.1406584983346395,56.78140304303949,11.969189975634164,14.330768489366179,16.69234700309819,153352900.0,131142298.73174684,2594213.125267446,208090.55187486275,-62655073.42801423,-3.0258932167646435,13.229126930236816,13.644987888127261,13.37899169921875,13.24831616755294,13.708404065473,13.543402517994267,12.936049285262387,12.711894776540156,12.98357966211107,13.145342390877861,13.098356309827867,13.887209203621438,14.036877664893566,13.66214444959542,14.34058942344678,2.167027751703483,4.696009276653053,1.9441459698147237,15.257604598999023,15.257604598999023,-0.026515483554572117,-0.026873359334450404,6.030470848083491,0.3054056852706951,0.364427323662031
2008-02-01,14.542487144470217,14.809321770974258,13.71530020946502,14.03550094695521,4428700,48.29273515770384,46.91985708536988,64.35648430489337,58.24867767896003,96.34605485393602,97.56403656929069,-0.8547105684041796,0.22748277547685225,-1.0821933438810318,-0.8547105684041796,-1.0821933438810318,0.22748277547685225,5.253006742544013,0.05253006742544013,0.7257919311523438,-23.130815459293796,-28.872667756815023,-10.839880398644848,0.827488233608106,-11.667368632252954,-22845.57244677609,-22858.441907337394,-19.49166891517038,87.11340005985274,77.30452400307091,28.148380755973303,25.14266679533602,29.66751060792758,25.322156279683973,1,0,8.255481056556718,0.9252095706980542,0.9448177954252669,0.4332758040467807,17.060504497301434,1,0.14142247419471804,1.1452427020454095,8.137613195442398,13.337819473817277,13.976798629760742,14.615777785704207,9.143426515180517,0.9426502096725086,11.329799355597066,14.470444157862207,17.611088960127347,21.80116291443167,89.13577321643832,26.792804530518044,0.8058403362916007,0.8256100066102097,1,1,1.0940215615092372,2.001257312461118,13.871487965334273,15.00903733454722,12.733938596121327,1.1375493692129461,60.67821432000297,12.0058808371406,14.350932170804658,16.695983504468717,157781600.0,133410656.46432716,3258653.627519667,701700.6482718899,-35945041.003798045,-2.1987062817594474,13.301706123352051,13.808169571098707,13.617784465443004,13.617132267605445,14.161814161697269,13.561908911387583,12.613145664222834,12.72961436989285,13.14738673633999,13.673522458757674,13.714832232548641,14.166451410906443,14.355429849720968,13.70616158433916,14.32472872746909,2.073234827518801,4.298302650036911,1.8395942921108668,15.062812805175781,15.062812805175781,0.060311225470716545,0.05856247396394589,5.2032842636108345,0.2635138509443782,0.30586484969808536
2008-02-06,13.688616752624512,14.227622844587124,13.667270510847263,14.227622844587124,3953700,43.310302558731756,49.80075002930018,67.0766023017288,62.6628837973611,89.26565490427083,93.98592153738097,-0.8061668455577244,0.2208211986586459,-1.0269880442163704,-0.8061668455577244,-1.0269880442163704,0.2208211986586459,3.012088183779722,0.030120881837797223,0.4002571105957031,-21.63488267495976,-27.83869845940713,-9.577426855773783,1.6719534211833373,-11.24938027695712,-22347.130466251845,-23171.361626438615,-15.096781905605532,33.120815435019686,60.928867199423756,26.765804563242142,23.746691332240054,28.324997773593363,25.804763974803553,1,0,8.792314057737022,0.9465159142215338,0.9476725331526374,0.41390721481910075,17.060504497301434,-1,0.1456918017830143,1.1259551257295197,8.345026705269134,13.353400825889459,13.982135391235351,14.610869956581244,8.993398329414154,0.2665798456226414,11.329799355597066,13.907422642948873,16.48504593030068,21.104480308369368,86.73764166970095,26.634028750363655,0.5816989263871335,0.8023803799222977,1,1,0.8752166336229532,0.896562875400202,13.96043292442009,15.080493444593703,12.840372404246477,1.1200605201736133,55.27666318785994,11.999433470306125,14.287854511930359,16.576275553554595,153827900.0,129758183.49965128,2072078.4689969271,119179.50305585377,-59159415.0974624,-3.0525766736051523,13.341731834411622,13.78643269501249,13.688131852583451,13.612344729902006,14.071861192835769,13.563227045951557,12.542228085910743,12.78924333259404,13.33135469754537,13.889887074061804,13.972400749122704,14.045612039720684,14.364156813573357,13.697389168481836,14.167893837722275,2.038148631510296,4.154049844127293,1.790911877950032,14.742611885070803,14.742611885070803,-0.05871556793298516,-0.060509919323814006,6.057154655456539,0.30675705346095616,0.366374769021899
